Description
FLUID MILK WHITE ONLY
YOGURT NOT MULTI PACKS
SOFT DRINKS CAN
SOFT DRINK INCL
CANDY BARS
SHREDDED CHEESE
MAINSTREAM WHITE BREAD
CONDENSED SOUP
ECONOMY ENTREES DINNERS
BANANAS
SOFT DRINK POWDER POUCHES
POTATO CHIPS
PASTA CANNED
ICE CREAM
RAMEN NOODLES RAMEN CUPS
BEER
100% PURE JUICE
PREMIUM ENTREES
VEGETABLES PLAIN
TUNA
